lamb,N,p,cpu_0,gap_0,cpu_1,gap_1,cpu_2,gap_2,clazy_2,cuser_2,cpu_3,gap_3,clazy_3,cuser_3
8,140,70,7200,92.25399999999999,2510.938,0,5802.851,8.88,6.4,3,602.069,0,5,3
8,180,45,7200,88.686,6200.898,22.811999999999998,5128.992,3.88,7.6,3.9,6252.008,8.536,6.4,3
8,180,60,7200,89.948,6265.508,3.114,5137.933,7.167,7.7,3.3,5233.713,11.086,5.2,3
8,180,90,7200,94.018,7179.83,16.994,6732.908,18.057,7.5,3.1,6137.941,8.478,6.2,3
8,200,50,7200,89.78,7200,88.568,7200,51.465,7.2,4.3,7007.412,51.755,4.8,3
8,200,66,7200,91.78,7200,90.806,7200,76.744,7.4,3.6,7200,79.944,5.2,3
8,200,100,7200,93.86999999999999,7200,93.134,7200,76.026,6.5,3,7200,77.304,5.2,3
9,20,5,408.09,0,25.136,0,5.175,0,10.3,5.7,38.550000000000004,0,7.6,3
9,20,6,1776.144,0,3.586,0,6.6450000000000005,0,10.7,4.8,73.589,0,8.6,3
9,20,10,1113.5520000000001,0,2.266,0,3.515,0,9.3,4,39.278999999999996,0,7.6,3
9,30,7,7200,77.204,3125.536,0,2751.761,0,13.4,4.6,2683.34,0,9.8,3
9,30,10,7200,63.885999999999996,2548.7400000000002,0,3069.643,0,13.3,4.3,3422.989,0,8.8,3
9,30,15,7124.32,32.162,762.042,0,1309.027,0,9.1,3.5,884.652,0,7.4,3
9,40,10,7200,97.784,7200,100,7200,100,17.8,5.3,7200,100,15.2,3
9,40,13,7200,90.84,7200,93.852,7200,100,14.7,5,7200,100,11,2.6
9,40,20,7200,52.324,5924.87,52.478,7200,100,11.8,4.5,7200,82.906,11.2,3
9,50,12,7200,93.768,7200,100,7200,100,17.6,5.5,7200,100,13.1,3
9,50,16,7200,86.818,7200,94.422,7200,100,15.7,5.5,7200,100,12,3
9,50,25,7200,60.528000000000006,6113.596,20.546,7200,92.926,10.2,4.1,7200,92.123,8.2,3
9,100,25,7200,100,7200,100,7200,100,14.4,5.6,7200,100,8.4,3
9,100,33,7200,100,7200,100,7200,100,13.4,5.8,7200,100,11.2,3
9,100,50,7200,99.872,7200,100,7200,100,14.3,5.9,7200,100,11.4,3
9,140,35,7200,100,7200,100,7200,100,15.3,6,7200,100,8.6,3
9,140,46,7200,100,7200,100,7200,100,15.6,5.8,7200,100,8,3
9,140,70,7200,100,7200,100,7200,100,11.6,6,7200,100,9,3
9,180,45,7200,100,7200,100,7200,100,8.8,6,7200,100,9,3
9,180,60,7200,100,7200,100,7200,100,9.6,6,7200,100,8.4,3
9,180,90,7200,100,7200,100,7200,100,12.4,6,7200,100,8,3
9,200,50,7200,100,7200,100,7200,100,8.5,6,7200,100,6.8,3
9,200,66,7200,100,7200,100,7200,100,9.2,6,7200,100,6.4,3
9,200,100,7200,100,7200,100,7200,100,9.3,6,7200,100,5.8,3
10,20,5,420.178,0,2.528,0,2.659,0,11.8,5.4,35.149,0,10,3
10,20,6,737.304,0,1.806,0,3.562,0,12.1,4.8,35.871,0,8,3
10,20,10,353.30600000000004,0,0.814,0,2.349,0,10.9,5.2,2.073,0,11,3
10,30,7,6032.624,18.844,460.58599999999996,0,483.882,0,13.4,5.3,538.085,0,11.6,3
10,30,10,7083.488,16.672,245.144,0,430.157,0,14.7,5.1,489.339,0,11,3
10,30,15,3128.376,0,63.278000000000006,0,231.402,0,12,4.3,269.658,0,10.2,2.8
10,40,10,7200,66.294,6227.608,3.996,7188.742,14.14,14.5,5.2,7200,17.624,16.2,3
10,40,13,7200,50.256,4716.6720000000005,0.02,2605.474,0.9879999999999999,14.5,5.1,842.229,0,11.8,3
10,40,20,7200,25.39,741.322,0,1828.684,0,15,4.1,1350.343,0,12.2,3
10,50,12,7200,43.620000000000005,3028.75,0,5369.005,4.758,15.7,5.4,5579.504,4.567,14.4,3
10,50,16,7200,34.611999999999995,2302.19,0,5083.053,3.5149999999999997,16.1,5.8,6054.835,4.9399999999999995,16.2,3
10,50,25,7200,39.116,1114.554,0,3290.984,0,12.8,4.5,4126.973,0,12,3
10,100,25,7200,86.708,7200,58.632,7200,65.849,18.8,5.6,7200,67.448,17,3
10,100,33,7200,89.092,7200,57.656000000000006,7200,68.965,18.2,6,7200,70.277,14.2,3
10,100,50,7200,93.08,7200,53.638,7200,79.024,13.2,5.9,7200,81.652,14.2,3
10,140,35,7200,89.076,7200,70.718,7200,74.095,16.1,6,7200,75.692,15,3
10,140,46,7200,91.318,7200,68.326,7200,80.699,16.2,6,7200,78.594,16.2,3
10,140,70,7200,94.218,7200,64.698,7200,86.945,14.3,6,7200,87.758,15,3
10,180,45,7200,89.838,7200,93.388,7200,84.798,9.7,6,7200,91.144,6.8,3
10,180,60,7200,92.498,7200,91.358,7200,92.764,10.3,6,7200,87.41,8.8,3
10,180,90,7200,94.824,7200,80.764,7200,91.615,11.2,5.9,7200,95.42,9.8,3
10,200,50,7200,91.4,7200,95.32600000000001,7200,94.483,8.1,6,7200,94.906,6.1,3
10,200,66,7200,93.664,7200,96.57000000000001,7200,96.049,9.2,6,7200,96.10000000000001,6.6,3
10,200,100,7200,94.972,7200,95.945,7200,96.33749999999999,10.125,6,7200,96.63875,6.75,3
11,20,5,0.08800000000000001,0,0.134,0,0.165,0,63.9,0,0.19,0,4,0
11,20,6,0.272,0,0.298,0,0.363,0,67.1,6,0.459,0,4.6,0.6
11,20,10,0.194,0,0.23,0,0.349,0,59.7,0,0.389,0,3.8,0
11,30,7,4.082,0,68.024,0,1.47,0,125.2,20.7,2.967,0,6.2,1.8
11,30,10,65.762,0,1.254,0,1.091,0,103.6,0,1.335,0,4.4,0.2
11,30,15,0.5740000000000001,0,1.25,0,1.118,0,98.4,0,1.424,0,4.8,0
11,40,10,51.388,0,70.694,0,5.224,0,160.8,31.2,70.013,0,5.6,2.4
11,40,13,1.028,0,2.784,0,1.388,0,137.1,3.7,1.633,0,4.2,0.4
11,40,20,0.9179999999999999,0,2.628,0,1.194,0,133.4,0,1.4,0,4.2,0
11,50,12,7.742,0,14.116,0,5.039,0,211.7,34.6,8.353,0,10.6,1.2
11,50,16,2.174,0,7.366,0,2.667,0,183.1,0,2.75,0,4.4,0
11,50,25,1.702,0,6.7700000000000005,0,2.502,0,172.4,0,2.864,0,4.2,0
11,100,25,227.038,0,377.716,0,229.338,0,550,196.2,218.29,0,23.1,2.5
11,100,33,55.956,0,213.632,0,156.315,0,402.4,78.4,161.856,0,7.1,2.1
11,100,50,53.794000000000004,0,204.164,0,138.823,0,327.5,0,139.799,0,4.2,1.5
11,140,35,959.514,0,1769.482,0,355.246,0,806.2,243.6,369.70799999999997,0,16.1,2.7
11,140,46,273.074,0,969.402,0,229.551,0,652.6,127.8,255.427,0,5.2,2.1
11,140,70,136.728,0,1013.764,0,173.46699999999998,0,468.8,0,198.921,0,3.7,0.6
11,180,45,1722.718,0,4948.154,0,534.472,0,796.2,391.7,600.392,0,4.5,2.4
11,180,60,956.114,0,3932.6839999999997,0,415.647,0,807.3,86.1,519.571,0,5,1.9
11,180,90,378.79200000000003,0,2939.656,0,360.762,0,694.1,0,392.592,0,4.5,1.2
11,200,50,5429.292,2.414,7200,80.858,4353.529,0.059,983.7,230.7,4150.963,0.44500000000000006,4.9,2.2
11,200,66,4184.738,0.656,7200,80.568,3629.96,0.231,956.1,136.2,4519.164,0.328,5.3,1.8
11,200,100,2561.6220000000003,0,6803.08,80,1948.593,0,765.3,0,2582.17,0,4.3,0.6
12,20,5,1875.322,0,4.266,0,35.842,0,1.5,0.5,35.689,0,3.2,0.8
12,20,6,2338.9300000000003,0,69.214,0,68.023,0,1.5,0.5,4.775,0,3.2,0.8
12,20,10,456.692,0,66.712,0,34.04,0,1.6,0.3,1.8739999999999999,0,3.2,1.2
12,30,7,7200,65.13,604.4,0,670.675,0,1.8,0.4,883.296,0,4,0.8
12,30,10,7200,57.97,519.636,0,451.904,0,1.9,0.2,633.226,0,3.6,1
12,30,15,7029.176,19.384,302.36,0,263.556,0,1.8,0.6,335.603,0,3.4,1
12,40,10,7200,98.098,5036.06,0,3824.681,0,1.7,0.2,3935.796,0,3.4,0.2
12,40,13,7200,64.306,242.86,0,222.582,0,1.7,0.3,249.453,0,3.4,0.4
12,40,20,6489.096,13.444,109.282,0,174.97,0,1.6,0.1,177.488,0,3.2,0.2
12,50,12,7200,89.096,2481.756,0,2105.431,0,2.1,0.2,3318.98,0,4.4,0.2
12,50,16,7200,75.908,923.3240000000001,0,940.235,0,1.9,0.3,1240.465,0,4,0.2
12,50,25,7200,36.168,247.746,0,223.597,0,1.8,0.1,259.234,0,3.8,0.6
12,100,25,7200,100,7200,75.902,7200,74.351,2,0.1,7200,74.892,4,0
12,100,33,7200,100,7200,67.024,7200,67.715,1.7,0,7200,69.853,3.4,0.4
12,100,50,7200,100,7200,51.026,7200,53.579,2,0,7200,52.251999999999995,3.6,0.2
12,140,35,7200,100,7200,95.182,7200,95.173,1.7,0,7200,97.923,1.6,0
12,140,46,7200,100,7200,93.974,7200,91.882,1.7,0,7200,96.879,1.7,0
12,140,70,7200,100,7200,90.998,7200,89.197,1.5,0,7200,93.176,1.5,0
12,180,45,7200,100,7200,100,7200,100,1.7,0,7200,100,1.6,0
12,180,60,7200,100,7200,100,7200,100,1.5,0,7200,100,1.5,0
12,180,90,7200,100,7200,100,7200,100,1.5,0,7200,100,1.5,0
12,200,50,7200,100,7200,100,7200,100,1.5,0,7200,100,1.6,0
12,200,66,7200,100,7200,100,7200,100,1.5,0,7200,100,1.5,0
12,200,100,7200,100,7200,100,7200,100,1.5,0,7200,100,1.5,0
